-4.8097960000000001e-01,1.4600520000000000e-01,1.2673888584612350e-01,2.6413834606577780e-01,4.5000000000000000e+00
-6.5867880000000001e-01,1.9839459999999998e-01,2.5502496678008113e-01,6.0338979116685743e-01,3.5000000000000000e+00
-8.2960480000000003e-01,2.8177800000000003e-01,4.4974617574399917e-01,1.2469631571999999e+00,3
-4.2378680000000002e-01,1.3475840000000000e-01,9.7348592583039961e-02,2.0420315258879998e-01,5
-5.5453039999999998e-01,1.6647400000000001e-01,1.7323682172399971e-01,3.7792358309999996e-01,4
-1.1898156000000000e+00,5.4216799999999998e-01,1.1456251839462406e+00,2.6234679910399992e+00,2.5000000000000000e+00
-1.9514716000000001e+00,9.8655760000000003e-01,2.0255655081952378e-01,2.8493725482658192e-02,1.5000000000000000e+00
-1.9999691999999998e+00,9.9998320000000007e-01,1.1986820544116199e-02,2.0463435519923225e-03,5.0000000000000000e-01
-1.7488463999999999e+00,9.1288899999999995e-01,7.0725793017601069e-01,3.6087228395000237e-01,2
-1.9970392000000001e+00,9.9923620000000002e-01,2.7075366335920989e-02,2.3180609560040466e-03,1
